Name	Url	Description	DataTypes	DefaultTask	AttributeTypes	NumberOfInstances	NumberOfAttributes	Year	Category
Cylinder Bands	https://archive.ics.uci.edu/ml/datasets/Cylinder+Bands	Used in decision tree induction for mitigating process delays known as "cylinder bands" in rotogravure printing	Multivariate 	Classification 	Categorical, Integer, Real 	512 	39 	1995 	Physical
Dermatology	https://archive.ics.uci.edu/ml/datasets/Dermatology	Aim for this dataset is to determine the type of Eryhemato-Squamous Disease.	Multivariate 	Classification 	Categorical, Integer 	366 	33 	1998 	Life
Diabetes	https://archive.ics.uci.edu/ml/datasets/Diabetes	This diabetes dataset is from AIM '94	Multivariate, Time-Series 		Categorical, Integer 		20 		Life
DGP2 - The Second Data Generation Program	https://archive.ics.uci.edu/ml/datasets/DGP2+-+The+Second+Data+Generation+Program	Generates application domains based on specific parameters, number of features, and proportion of positive to negative examples	Data-Generator 		Real 				Other
Document Understanding	https://archive.ics.uci.edu/ml/datasets/Document+Understanding	Five concepts, expressed as predicates, to be learned						1994 	Other
EBL Domain Theories	https://archive.ics.uci.edu/ml/datasets/EBL+Domain+Theories	Assorted small-scale domain theories							Computer
Echocardiogram	https://archive.ics.uci.edu/ml/datasets/Echocardiogram	Data for classifying if patients will survive for at least one year after a heart attack	Multivariate 	Classification 	Categorical, Integer, Real 	132 	12 	1989 	Life
Ecoli	https://archive.ics.uci.edu/ml/datasets/Ecoli	This data contains protein localization sites	Multivariate 	Classification 	Real 	336 	8 	1996 	Life
Flags	https://archive.ics.uci.edu/ml/datasets/Flags	From Collins Gem Guide to Flags, 1986	Multivariate 	Classification 	Categorical, Integer 	194 	30 	1990 	Other
Function Finding	https://archive.ics.uci.edu/ml/datasets/Function+Finding	Cases collected mostly from investigations in physical science; intention is to evaluate function-finding algorithms		Function-Learning 	Real 	352 		1990 	Physical
Glass Identification	https://archive.ics.uci.edu/ml/datasets/Glass+Identification	From USA Forensic Science Service; 6 types of glass; defined in terms of their oxide content (i.e. Na, Fe, K, etc)	Multivariate 	Classification 	Real 	214 	10 	1987 	Physical
Haberman's Survival	https://archive.ics.uci.edu/ml/datasets/Haberman%27s+Survival	Dataset contains cases from study conducted on the survival of patients who had undergone surgery for breast cancer	Multivariate 	Classification 	Integer 	306 	3 	1999 	Life
Hayes-Roth	https://archive.ics.uci.edu/ml/datasets/Hayes-Roth	Topic: human subjects study	Multivariate 	Classification 	Categorical 	160 	5 	1989 	Social
Heart Disease	https://archive.ics.uci.edu/ml/datasets/Heart+Disease	4 databases: Cleveland, Hungary, Switzerland, and the VA Long Beach	Multivariate 	Classification 	Categorical, Integer, Real 	303 	75 	1988 	Life
Hepatitis	https://archive.ics.uci.edu/ml/datasets/Hepatitis	From G.Gong: CMU; Mostly Boolean or numeric-valued attribute types; Includes cost data (donated by Peter Turney)	Multivariate 	Classification 	Categorical, Integer, Real 	155 	19 	1988 	Life
Horse Colic	https://archive.ics.uci.edu/ml/datasets/Horse+Colic	Well documented attributes; 368 instances with 28 attributes (continuous, discrete, and nominal); 30% missing values	Multivariate 	Classification 	Categorical, Integer, Real 	368 	27 	1989 	Life
ICU	https://archive.ics.uci.edu/ml/datasets/ICU	Data set prepared for the use of participants for the 1994 AAAI Spring Symposium on Artificial Intelligence in Medicine.	Multivariate, Time-Series 		Real 				Life
Image Segmentation	https://archive.ics.uci.edu/ml/datasets/Image+Segmentation	Image data described by high-level numeric-valued attributes, 7 classes	Multivariate 	Classification 	Real 	2310 	19 	1990 	Other
Internet Advertisements	https://archive.ics.uci.edu/ml/datasets/Internet+Advertisements	This dataset represents a set of possible advertisements on Internet pages.	Multivariate 	Classification 	Categorical, Integer, Real 	3279 	1558 	1998 	Computer
Ionosphere	https://archive.ics.uci.edu/ml/datasets/Ionosphere	Classification of radar returns from the ionosphere	Multivariate 	Classification 	Integer, Real 	351 	34 	1989 	Physical
Iris	https://archive.ics.uci.edu/ml/datasets/Iris	Famous database; from Fisher, 1936	Multivariate 	Classification 	Real 	150 	4 	1988 	Life
ISOLET	https://archive.ics.uci.edu/ml/datasets/ISOLET	Goal: Predict which letter-name was spoken--a simple classification task.	Multivariate 	Classification 	Real 	7797 	617 	1994 	Computer
Kinship	https://archive.ics.uci.edu/ml/datasets/Kinship	Relational dataset	Relational 	Relational-Learning 	Categorical 	104 	12 	1990 	Social
Labor Relations	https://archive.ics.uci.edu/ml/datasets/Labor+Relations	From Collective Bargaining Review	Multivariate 		Categorical, Integer, Real 	57 	16 	1988 	Social
LED Display Domain	https://archive.ics.uci.edu/ml/datasets/LED+Display+Domain	From Classification and Regression Trees book; We provide here 2 C programs for generating sample databases	Multivariate, Data-Generator 	Classification 	Categorical 		7 	1988 	Computer
Lenses	https://archive.ics.uci.edu/ml/datasets/Lenses	Database for fitting contact lenses	Multivariate 	Classification 	Categorical 	24 	4 	1990 	Other
Letter Recognition	https://archive.ics.uci.edu/ml/datasets/Letter+Recognition	Database of character image features; try to identify the letter	Multivariate 	Classification 	Integer 	20000 	16 	1991 	Computer
Liver Disorders	https://archive.ics.uci.edu/ml/datasets/Liver+Disorders	BUPA Medical Research Ltd. database donated by Richard S. Forsyth	Multivariate 		Categorical, Integer, Real 	345 	7 	1990 	Life
Logic Theorist	https://archive.ics.uci.edu/ml/datasets/Logic+Theorist	All code for Logic Theorist	Domain-Theory 						Computer
Lung Cancer	https://archive.ics.uci.edu/ml/datasets/Lung+Cancer	Lung cancer data; no attribute definitions	Multivariate 	Classification 	Integer 	32 	56 	1992 	Life
Lymphography	https://archive.ics.uci.edu/ml/datasets/Lymphography	This lymphography domain was obtained from the University Medical Centre, Institute of Oncology, Ljubljana, Yugoslavia. (Restricted access)	Multivariate 	Classification 	Categorical 	148 	18 	1988 	Life
Mechanical Analysis	https://archive.ics.uci.edu/ml/datasets/Mechanical+Analysis	Fault diagnosis problem of electromechanical devices; also PUMPS DATA SET is newer version with domain theory and results	Multivariate 	Classification 	Categorical, Integer, Real 	209 	8 	1990 	Computer
Meta-data	https://archive.ics.uci.edu/ml/datasets/Meta-data	Meta-Data was used in order to give advice about which classification method is appropriate for a particular dataset (taken from results of Statlog project).	Multivariate 	Classification 	Categorical, Integer, Real 	528 	22 	1996 	Other
Mobile Robots	https://archive.ics.uci.edu/ml/datasets/Mobile+Robots	Learning concepts from sensor data of a mobile robot; set of data sets	Domain-Theory 		Categorical, Integer, Real 			1995 	Computer
Molecular Biology (Promoter Gene Sequences)	https://archive.ics.uci.edu/ml/datasets/Molecular+Biology+%28Promoter+Gene+Sequences%29	E. Coli promoter gene sequences (DNA) with partial domain theory	Sequential, Domain-Theory 	Classification 	Categorical 	106 	58 	1990 	Life
Molecular Biology (Protein Secondary Structure)	https://archive.ics.uci.edu/ml/datasets/Molecular+Biology+%28Protein+Secondary+Structure%29	From CMU connectionist bench repository; Classifies secondary structure of certain globular proteins	Sequential 	Classification 	Categorical 	128 			Life
Molecular Biology (Splice-junction Gene Sequences)	https://archive.ics.uci.edu/ml/datasets/Molecular+Biology+%28Splice-junction+Gene+Sequences%29	Primate splice-junction gene sequences (DNA) with associated imperfect domain theory	Sequential, Domain-Theory 	Classification 	Categorical 	3190 	61 	1992 	Life
MONK's Problems	https://archive.ics.uci.edu/ml/datasets/MONK%27s+Problems	A set of three artificial domains over the same attribute space; Used to test a wide range of induction algorithms	Multivariate 	Classification 	Categorical 	432 	7 	1992 	Other
Moral Reasoner	https://archive.ics.uci.edu/ml/datasets/Moral+Reasoner	Horn-clause model that qualitatively simulates moral reasoning; Theory includes negated literals	Domain-Theory 			202 		1994 	Computer
Multiple Features	https://archive.ics.uci.edu/ml/datasets/Multiple+Features	This dataset consists of features of handwritten numerals (`0'--`9') extracted from a collection of Dutch utility maps	Multivariate 	Classification 	Integer, Real 	2000 	649 		Computer
Mushroom	https://archive.ics.uci.edu/ml/datasets/Mushroom	From Audobon Society Field Guide; mushrooms described in terms of physical characteristics; classification: poisonous or edible	Multivariate 	Classification 	Categorical 	8124 	22 	1987 	Life
Musk (Version 1)	https://archive.ics.uci.edu/ml/datasets/Musk+%28Version+1%29	The goal is to learn to predict whether new molecules will be musks or non-musks	Multivariate 	Classification 	Integer 	476 	168 	1994 	Physical
Musk (Version 2)	https://archive.ics.uci.edu/ml/datasets/Musk+%28Version+2%29	The goal is to learn to predict whether new molecules will be musks or non-musks	Multivariate 	Classification 	Integer 	6598 	168 	1994 	Physical
Nursery	https://archive.ics.uci.edu/ml/datasets/Nursery	Nursery Database was derived from a hierarchical decision model originally developed to rank applications for nursery schools.	Multivariate 	Classification 	Categorical 	12960 	8 	1997 	Social
Othello Domain Theory	https://archive.ics.uci.edu/ml/datasets/Othello+Domain+Theory	Used in research to generate features for an inductive learning system	Domain-Theory 					1991 	Game
Page Blocks Classification	https://archive.ics.uci.edu/ml/datasets/Page+Blocks+Classification	The problem consists of classifying all the blocks of the page layout of a document that has been detected by a segmentation process.	Multivariate 	Classification 	Integer, Real 	5473 	10 	1995 	Computer
Optical Recognition of Handwritten Digits	https://archive.ics.uci.edu/ml/datasets/Optical+Recognition+of+Handwritten+Digits	Two versions of this database available; see folder	Multivariate 	Classification 	Integer 	5620 	64 	1998 	Computer
Pen-Based Recognition of Handwritten Digits	https://archive.ics.uci.edu/ml/datasets/Pen-Based+Recognition+of+Handwritten+Digits	Digit database of 250 samples from 44 writers	Multivariate 	Classification 	Integer 	10992 	16 	1998 	Computer
Post-Operative Patient	https://archive.ics.uci.edu/ml/datasets/Post-Operative+Patient	Dataset of patient features	Multivariate 	Classification 	Categorical, Integer 	90 	8 	1993 	Life
Primary Tumor	https://archive.ics.uci.edu/ml/datasets/Primary+Tumor	From Ljubljana Oncology Institute	Multivariate 	Classification 	Categorical 	339 	17 	1988 	Life
Prodigy	https://archive.ics.uci.edu/ml/datasets/Prodigy	Assorted domains like blocksworld, eightpuzzle, and schedworld.	Domain-Theory 						Other
Qualitative Structure Activity Relationships	https://archive.ics.uci.edu/ml/datasets/Qualitative+Structure+Activity+Relationships	Two sets of datasets are given: pyrimidines and triazines	Domain-Theory 						Physical
Quadruped Mammals	https://archive.ics.uci.edu/ml/datasets/Quadruped+Mammals	The file animals.c is a data generator of structured instances representing quadruped animals	Multivariate, Data-Generator 	Classification 	Real 		72 	1992 	Life
Servo	https://archive.ics.uci.edu/ml/datasets/Servo	Data was from a simulation of a servo system	Multivariate 	Regression 	Categorical, Integer 	167 	4 	1993 	Computer
Shuttle Landing Control	https://archive.ics.uci.edu/ml/datasets/Shuttle+Landing+Control	Tiny database; all nominal values	Multivariate 	Classification 	Categorical 	15 	6 	1988 	Physical
Solar Flare	https://archive.ics.uci.edu/ml/datasets/Solar+Flare	Each class attribute counts the number of solar flares of a certain class that occur in a 24 hour period	Multivariate 	Regression 	Categorical 	1389 	10 	1989 	Physical
Soybean (Large)	https://archive.ics.uci.edu/ml/datasets/Soybean+%28Large%29	Michalski's famous soybean disease database	Multivariate 	Classification 	Categorical 	307 	35 	1988 	Life
Soybean (Small)	https://archive.ics.uci.edu/ml/datasets/Soybean+%28Small%29	Michalski's famous soybean disease database	Multivariate 	Classification 	Categorical 	47 	35 	1987 	Life
Challenger USA Space Shuttle O-Ring	https://archive.ics.uci.edu/ml/datasets/Challenger+USA+Space+Shuttle+O-Ring	Task: predict the number of O-rings that experience thermal distress on a flight at 31 degrees F given data on the previous 23 shuttle flights	Multivariate 	Regression 	Integer 	23 	4 	1993 	Physical
Low Resolution Spectrometer	https://archive.ics.uci.edu/ml/datasets/Low+Resolution+Spectrometer	From IRAS data -- NASA Ames Research Center	Multivariate 	Classification 	Integer, Real 	531 	102 	1988 	Physical
Spambase	https://archive.ics.uci.edu/ml/datasets/Spambase	Classifying Email as Spam or Non-Spam	Multivariate 	Classification 	Integer, Real 	4601 	57 	1999 	Computer
SPECT Heart	https://archive.ics.uci.edu/ml/datasets/SPECT+Heart	Data on cardiac Single Proton Emission Computed Tomography (SPECT) images. Each patient classified into two categories: normal and abnormal.	Multivariate 	Classification 	Categorical 	267 	22 	2001 	Life
SPECTF Heart	https://archive.ics.uci.edu/ml/datasets/SPECTF+Heart	Data on cardiac Single Proton Emission Computed Tomography (SPECT) images. Each patient classified into two categories: normal and abnormal.	Multivariate 	Classification 	Integer 	267 	44 	2001 	Life
Sponge	https://archive.ics.uci.edu/ml/datasets/Sponge	Data on sponges; Attributes in spanish	Multivariate 	Clustering 	Categorical, Integer 	76 	45 		Life
Statlog Project	https://archive.ics.uci.edu/ml/datasets/Statlog+Project	Various Databases: Vehicle silhouttes, Landsat Sattelite, Shuttle, Australian Credit Approval, Heart Disease, Image Segmentation, German Credit						1992 	Other
Student Loan Relational	https://archive.ics.uci.edu/ml/datasets/Student+Loan+Relational	Student Loan Relational Domain	Domain-Theory 			1000 		1993 	Social
Teaching Assistant Evaluation	https://archive.ics.uci.edu/ml/datasets/Teaching+Assistant+Evaluation	The data consist of evaluations of teaching performance; scores are "low", "medium", or "high"	Multivariate 	Classification 	Categorical, Integer 	151 	5 	1997 	Other
Tic-Tac-Toe Endgame	https://archive.ics.uci.edu/ml/datasets/Tic-Tac-Toe+Endgame	Binary classification task on possible configurations of tic-tac-toe game	Multivariate 	Classification 	Categorical 	958 	9 	1991 	Game
Thyroid Disease	https://archive.ics.uci.edu/ml/datasets/Thyroid+Disease	10 separate databases from Garavan Institute	Multivariate, Domain-Theory 	Classification 	Categorical, Real 	7200 	21 	1987 	Life
Trains	https://archive.ics.uci.edu/ml/datasets/Trains	2 data formats (structured, one-instance-per-line)	Multivariate 	Classification 	Categorical 	10 	32 	1994 	Other
University	https://archive.ics.uci.edu/ml/datasets/University	Data in original (LISP-readable) form	Multivariate 	Classification 	Categorical, Integer 	285 	17 	1988 	Other
Congressional Voting Records	https://archive.ics.uci.edu/ml/datasets/Congressional+Voting+Records	1984 United Stated Congressional Voting Records; Classify as Republican or Democrat	Multivariate 	Classification 	Categorical 	435 	16 	1987 	Social
Water Treatment Plant	https://archive.ics.uci.edu/ml/datasets/Water+Treatment+Plant	Multiple classes predict plant state	Multivariate 	Clustering 	Integer, Real 	527 	38 	1993 	Physical
Waveform Database Generator (Version 1)	https://archive.ics.uci.edu/ml/datasets/Waveform+Database+Generator+%28Version+1%29	CART book's waveform domains	Multivariate, Data-Generator 	Classification 	Real 	5000 	21 	1988 	Physical
Waveform Database Generator (Version 2)	https://archive.ics.uci.edu/ml/datasets/Waveform+Database+Generator+%28Version+2%29	CART book's waveform domains	Multivariate, Data-Generator 	Classification 	Real 	5000 	40 	1988 	Physical
Wine	https://archive.ics.uci.edu/ml/datasets/Wine	Using chemical analysis determine the origin of wines	Multivariate 	Classification 	Integer, Real 	178 	13 	1991 	Physical
Yeast	https://archive.ics.uci.edu/ml/datasets/Yeast	Predicting the Cellular Localization Sites of Proteins	Multivariate 	Classification 	Real 	1484 	8 	1996 	Life
Zoo	https://archive.ics.uci.edu/ml/datasets/Zoo	Artificial, 7 classes of animals	Multivariate 	Classification 	Categorical, Integer 	101 	17 	1990 	Life
Undocumented	https://archive.ics.uci.edu/ml/datasets/Undocumented	Various datasets without documentation (feel free to explore!)							Other
Twenty Newsgroups	https://archive.ics.uci.edu/ml/datasets/Twenty+Newsgroups	This data set consists of 20000 messages taken from 20 newsgroups.	Text 			20000 		1999 	Other
Australian Sign Language signs	https://archive.ics.uci.edu/ml/datasets/Australian+Sign+Language+signs	This data consists of sample of Auslan (Australian Sign Language) signs. Examples of 95 signs were collected from five signers with a total of 6650 sign samples.	Multivariate, Time-Series 	Classification 	Categorical, Real 	6650 	15 	1999 	Other
Australian Sign Language signs (High Quality)	https://archive.ics.uci.edu/ml/datasets/Australian+Sign+Language+signs+%28High+Quality%29	This data consists of sample of Auslan (Australian Sign Language) signs. 27 examples of each of 95 Auslan signs were captured from a native signer using high-quality position trackers	Multivariate, Time-Series 	Classification 	Real 	2565 	22 	2002 	Other
US Census Data (1990)	https://archive.ics.uci.edu/ml/datasets/US+Census+Data+%281990%29	The USCensus1990raw data set contains a one percent sample of the Public Use Microdata Samples (PUMS) person records drawn from the full 1990 census sample.	Multivariate 	Clustering 	Categorical 	2458285 	68 		Social
Census-Income (KDD)	https://archive.ics.uci.edu/ml/datasets/Census-Income+%28KDD%29	This data set contains weighted census data extracted from the 1994 and 1995 current population surveys conducted by the U.S. Census Bureau.	Multivariate 	Classification 	Categorical, Integer 	299285 	40 	2000 	Social
Coil 1999 Competition Data	https://archive.ics.uci.edu/ml/datasets/Coil+1999+Competition+Data	This data set is from the 1999 Computational Intelligence and Learning (COIL) competition. The data contains measurements of river chemical concentrations and algae densities.	Multivariate 		Categorical, Real 	340 	17 	1999 	Physical
Corel Image Features	https://archive.ics.uci.edu/ml/datasets/Corel+Image+Features	This dataset contains image features extracted from a Corel image collection. Four sets of features are available based on the color histogram, color histogram layout, color moments, and co-occurence	Multivariate 		Real 	68040 	89 	1999 	Other
E. Coli Genes	https://archive.ics.uci.edu/ml/datasets/E.+Coli+Genes	Data giving characteristics of each ORF (potential gene) in the E. coli genome. Sequence, homology (similarity to other genes) and structural information, and function (if known) are provided.	Relational 					2001 	Life
EEG Database	https://archive.ics.uci.edu/ml/datasets/EEG+Database	This data arises from a large study to examine EEG correlates of genetic predisposition to alcoholism. It contains measurements from 64 electrodes placed on the scalp sampled at 256 Hz	Multivariate, Time-Series 		Categorical, Integer, Real 	122 	4 	1999 	Life
El Nino	https://archive.ics.uci.edu/ml/datasets/El+Nino	The data set contains oceanographic and surface meteorological readings taken from a series of buoys positioned throughout the equatorial Pacific.	Spatio-temporal 		Integer, Real 	178080 	12 	1999 	Physical
Entree Chicago Recommendation Data	https://archive.ics.uci.edu/ml/datasets/Entree+Chicago+Recommendation+Data	This data contains a record of user interactions with the Entree Chicago restaurant recommendation system.	Transactional, Sequential 	Recommender-Systems 	Categorical 	50672 		2000 	Other
CMU Face Images	https://archive.ics.uci.edu/ml/datasets/CMU+Face+Images	This data consists of 640 black and white face images of people taken with varying pose (straight, left, right, up), expression (neutral, happy, sad, angry), eyes (wearing sunglasses or not), and size	Image 	Classification 	Integer 	640 		1999 	Other
Insurance Company Benchmark (COIL 2000)	https://archive.ics.uci.edu/ml/datasets/Insurance+Company+Benchmark+%28COIL+2000%29	This data set used in the CoIL 2000 Challenge contains information on customers of an insurance company. The data consists of 86 variables and includes product usage data and socio-demographic data	Multivariate 	Regression, Description 	Categorical, Integer 	9000 	86 	2000 	Social
Internet Usage Data	https://archive.ics.uci.edu/ml/datasets/Internet+Usage+Data	This data contains general demographic information on internet users in 1997.	Multivariate 		Categorical, Integer 	10104 	72 	1999 	Computer
IPUMS Census Database	https://archive.ics.uci.edu/ml/datasets/IPUMS+Census+Database	This data set contains unweighted PUMS census data from the Los Angeles and Long Beach areas for the years 1970, 1980, and 1990.	Multivariate 		Categorical, Integer 	256932 	61 	1999 	Social
Japanese Vowels	https://archive.ics.uci.edu/ml/datasets/Japanese+Vowels	This dataset records 640 time series of 12 LPC cepstrum coefficients taken from nine male speakers.	Multivariate, Time-Series 	Classification 	Real 	640 	12 		Other
KDD Cup 1998 Data	https://archive.ics.uci.edu/ml/datasets/KDD+Cup+1998+Data	This is the data set used for The Second International Knowledge Discovery and Data Mining Tools Competition, which was held in conjunction with KDD-98	Multivariate 	Regression 	Categorical, Integer 	191779 	481 	1998 	Other
KDD Cup 1999 Data	https://archive.ics.uci.edu/ml/datasets/KDD+Cup+1999+Data	This is the data set used for The Third International Knowledge Discovery and Data Mining Tools Competition, which was held in conjunction with KDD-99	Multivariate 	Classification 	Categorical, Integer 	4000000 	42 	1999 	Computer
M. Tuberculosis Genes	https://archive.ics.uci.edu/ml/datasets/M.+Tuberculosis+Genes	Data giving characteristics of each ORF (potential gene) in the M. tuberculosis bacterium. Sequence, homology (similarity to other genes) and structural information, and function (if known) are provided	Relational 					2001 	Life
Movie	https://archive.ics.uci.edu/ml/datasets/Movie	This data set contains a list of over 10000 films including many older, odd, and cult films. There is information on actors, casts, directors, producers, studios, etc.	Multivariate, Relational 			10000 		1999 	Other
MSNBC.com Anonymous Web Data	https://archive.ics.uci.edu/ml/datasets/MSNBC.com+Anonymous+Web+Data	This data describes the page visits of users who visited msnbc.com on September 28, 1999. Visits are recorded at the level of URL category (see description) and are recorded in time order.	Sequential 		Categorical 	989818 			Computer
NSF Research Award Abstracts 1990-2003	https://archive.ics.uci.edu/ml/datasets/NSF+Research+Award+Abstracts+1990-2003	This data set consists of (a) 129,000 abstracts describing NSF awards for basic research, (b) bag-of-word data files extracted from the abstracts, (c) a list of words used for indexing the bag-of-word	Text 			129000 		2003 	Other
Pioneer-1 Mobile Robot Data	https://archive.ics.uci.edu/ml/datasets/Pioneer-1+Mobile+Robot+Data	This dataset contains time series sensor readings of the Pioneer-1 mobile robot. The data is broken into "experiences" in which the robot takes action for some period of time and experiences a control	Multivariate, Time-Series 		Categorical, Real 			1999 	Computer
Pseudo Periodic Synthetic Time Series	https://archive.ics.uci.edu/ml/datasets/Pseudo+Periodic+Synthetic+Time+Series	This data set is designed for testing indexing schemes in time series databases. The data appears highly periodic, but never exactly repeats itself.	Univariate, Time-Series 			100000 		1999 	Other
Reuters-21578 Text Categorization Collection	https://archive.ics.uci.edu/ml/datasets/Reuters-21578+Text+Categorization+Collection	This is a collection of documents that appeared on Reuters newswire in 1987. The documents were assembled and indexed with categories.	Text 	Classification 	Categorical 	21578 	5 	1997 	Other
